Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL26760,Illumina HiSeq 4000 (Bos grunniens x Bos taurus),high-throughput sequencing,Bos grunniens x Bos taurus,0,6,1,GEO,10-Jun-19
GPL26762,Illumina HiSeq 2500 (Dictyostelium discoideum AX4),high-throughput sequencing,Dictyostelium discoideum AX4,0,6,1,GEO,10-Jun-19
GPL26763,Illumina NextSeq 500 (Streptomyces coelicolor A3(2)),high-throughput sequencing,Streptomyces coelicolor A3(2),0,78,3,GEO,10-Jun-19
GPL26751,Sequel (Macaca mulatta),high-throughput sequencing,Macaca mulatta,0,26,2,GEO,9-Jun-19
GPL26747,Custom made TaqMan® Array Cards [catlog: 4331182],RT-PCR,Homo sapiens,0,163,4,Hemmo A Drexhage,7-Jun-19
GPL26749,Illumina NovaSeq 6000 (Equus caballus),high-throughput sequencing,Equus caballus,0,208,9,GEO,7-Jun-19
GPL26750,Illumina Human PsychArray-24 v1.3,oligonucleotide beads,Homo sapiens,595427,16,1,GEO admin,7-Jun-19
GPL26744,Illumina HiSeq 2000 (Cyanobacterium),high-throughput sequencing,Cyanobacterium,0,24,1,GEO,6-Jun-19
GPL26745,Illumina HiSeq 2500 (Pelophylax nigromaculatus),high-throughput sequencing,Pelophylax nigromaculatus,0,27,1,GEO,6-Jun-19
GPL26746,Illumina HiSeq 2000 (Rhodospirillum centenum),high-throughput sequencing,Rhodospirillum centenum,0,36,1,GEO,6-Jun-19
GPL26732,Agilent Porphyromonas gingivalis Oligo Microarrays 8x15K (074976),spotted DNA/cDNA,Porphyromonas gingivalis,15744,6,1,Patricia Romero Lastra,5-Jun-19
GPL26737,Illumina NovaSeq 6000 (Beauveria bassiana ARSEF 2860),high-throughput sequencing,Beauveria bassiana ARSEF 2860,0,6,1,GEO,5-Jun-19
GPL26738,HiSeq X Ten (Brassica rapa),high-throughput sequencing,Brassica rapa,0,4,1,GEO,5-Jun-19
GPL26739,HiSeq X Ten (Brassica oleracea),high-throughput sequencing,Brassica oleracea,0,4,1,GEO,5-Jun-19
GPL26741,Illumina MiSeq (Toxoplasma gondii),high-throughput sequencing,Toxoplasma gondii,0,22,3,GEO,5-Jun-19
GPL26742,Illumina NovaSeq 6000 (Toxoplasma gondii),high-throughput sequencing,Toxoplasma gondii,0,61,6,GEO,5-Jun-19
GPL26733,Illumina HiSeq 2000 (Homo sapiens; Human alphaherpesvirus 1),high-throughput sequencing,Homo sapiens;Human alphaherpesvirus 1,0,4,2,GEO,4-Jun-19
GPL26734,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [CDF: Brainarray HGU133Plus2_Hs_ENTREZG_v13],in situ oligonucleotide,Homo sapiens,18123,6,1,Pierre Ledoux,4-Jun-19
GPL25534,Customized nCounter human PanCancer Pathways panel,other,Homo sapiens,739,40,2,Alanna Maguire,3-Jun-19
GPL23230,NimbleGen GeoChip v.4.2 [110613_GeoChip_JV_Exp_new],in situ oligonucleotide,Archaea;Bacteria;Eukaryota;Viruses,46455,107,1,Jizhong Zhou,3-Jun-19
GPL26727,Illumina HiSeq 4000 (Canis lupus),high-throughput sequencing,Canis lupus,0,89,3,GEO,2-Jun-19
GPL26728,BGISEQ-500 (Medicago truncatula),high-throughput sequencing,Medicago truncatula,0,106,6,GEO,2-Jun-19
GPL26724,[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array [Ensembl version 81],in situ oligonucleotide,Mus musculus,19417,24,1,Gerald Lipshutz,1-Jun-19
GPL26725,Illumina HiSeq 2000 (Scutellaria baicalensis),high-throughput sequencing,Scutellaria baicalensis,0,1,1,GEO,1-Jun-19
GPL23845,nCounter PanCancer Progression panel,other,Homo sapiens,784,33,3,Chiara Braconi,31-May-19
GPL26723,PacBio RS II (Oxytricha trifallax),high-throughput sequencing,Oxytricha trifallax,0,2,1,GEO,31-May-19
GPL26714,Agilent-064677_IRHS_AryANE_v1,in situ oligonucleotide,Malus domestica,126022,0,0,Sandra Pelletier,30-May-19
GPL26715,Agilent-070465_IRHS_AryANE_v2,in situ oligonucleotide,Malus domestica,176026,28,2,Sandra Pelletier,30-May-19
GPL22094,CustomArray Amur sturgeon 12K miRNA array,in situ oligonucleotide,Acipenser schrenckii,2751,6,1,Linmiao Li,29-May-19
GPL26709,Illumina HiSeq 4000 (Aedes aegypti),high-throughput sequencing,Aedes aegypti,0,34,3,GEO,28-May-19
GPL26710,[Clariom_S_Human] Affymetrix Clariom S Human array [ClariomSHuman_Hs_ENSG_22],in situ oligonucleotide,Homo sapiens,17710,60,2,GEO admin,28-May-19
GPL26711,Illumina NextSeq 500 (Emiliania huxleyi CCMP1516),high-throughput sequencing,Emiliania huxleyi CCMP1516,0,36,1,GEO,28-May-19
GPL26713,Illumina HiSeq 4000 (Talaromyces pinophilus),high-throughput sequencing,Talaromyces pinophilus,0,6,1,GEO,28-May-19
GPL26705,Reverse Pharse Protein Array (RPPA)-MD Anderson Cancer Center,spotted peptide or protein,Homo sapiens,304,3,1,Ramon Parsons,25-May-19
GPL26706,Illumina HiSeq 2500 (Enterococcus faecalis OG1RF),high-throughput sequencing,Enterococcus faecalis OG1RF,0,30,2,GEO,24-May-19
GPL26707,Illumina NextSeq 500 (Sclerotium cepivorum),high-throughput sequencing,Stromatinia cepivora,0,0,0,GEO,24-May-19
GPL24762,Nanostring nCounter Pt_TFs Custom CodeSet,other,Phaeodactylum tricornutum,109,106,3,Angela Falciatore,23-May-19
GPL26700,HiSeq X Ten (Agaricus blazei),high-throughput sequencing,Agaricus blazei,0,0,0,GEO,23-May-19
GPL26701,Illumina HiSeq 2000 (Capsicum annuum; Solanum lycopersicum),high-throughput sequencing,Capsicum annuum;Solanum lycopersicum,0,31,1,GEO,23-May-19
GPL26704,Illumina NextSeq 500 (Seminavis robusta),high-throughput sequencing,Seminavis robusta,0,18,1,GEO,23-May-19
GPL26697,HiSeq X Ten (synthetic construct),high-throughput sequencing,synthetic construct,0,65,9,GEO,22-May-19
GPL26698,Illumina Human Exome Asian BeadChip  (Exome_Asian_30K_ExomePlus_15031624_A),oligonucleotide beads,Homo sapiens,274959,8949,1,GEO admin,22-May-19
GPL26699,Illumina Human Exome Fine BeadChip (Exome_Fine_30K_ExomePlus_15031625_B),oligonucleotide beads,Homo sapiens,270241,12398,1,GEO admin,22-May-19
GPL26689,Taqman Low Density Array For Glioma Subtyping,RT-PCR,Homo sapiens,44,215,2,Fan Xiaolong,21-May-19
GPL26690,Illumina HiSeq 2500 (Verticillium dahliae),high-throughput sequencing,Verticillium dahliae,0,3,1,GEO,20-May-19
GPL26691,Illumina HiSeq 2500 (Erysiphe pisi; Pisum sativum),high-throughput sequencing,Erysiphe pisi;Pisum sativum,0,0,0,GEO,20-May-19
GPL26693,Illumina HiSeq 2500 (Homo sapiens; Human immunodeficiency virus 1),high-throughput sequencing,Homo sapiens;Human immunodeficiency virus 1,0,25,3,GEO,20-May-19
GPL26694,Illumina MiSeq (Homo sapiens; Human immunodeficiency virus 1),high-throughput sequencing,Homo sapiens;Human immunodeficiency virus 1,0,7,1,GEO,20-May-19
GPL26683,MICROMAX™ human cDNA Microarray System,spotted oligonucleotide,Homo sapiens,2396,3,1,Pranela Rameshwar,18-May-19
GPL26680,Illumina NextSeq 500 (Escherichia coli UTI89),high-throughput sequencing,Escherichia coli UTI89,0,14,2,GEO,17-May-19
GPL26681,Ion Torrent Proton (Brucella melitensis),high-throughput sequencing,Brucella melitensis,0,6,1,GEO,17-May-19
GPL26685,Illumina MiSeq (Sinorhizobium meliloti),high-throughput sequencing,Sinorhizobium meliloti,0,2,1,GEO,17-May-19
GPL26686,Illumina HiSeq 4000 (Peromyscus maniculatus),high-throughput sequencing,Peromyscus maniculatus,0,44,4,GEO,17-May-19
GPL26675,Illumina NextSeq 500 (Lasiodiplodia theobromae),high-throughput sequencing,Lasiodiplodia theobromae,0,6,1,GEO,16-May-19
GPL26676,Illumina NextSeq 500 (Lasiodiplodia hormozganensis),high-throughput sequencing,Lasiodiplodia hormozganensis,0,6,1,GEO,16-May-19
GPL26677,Illumina HiSeq 2500 (Dionaea muscipula),high-throughput sequencing,Dionaea muscipula,0,6,1,GEO,16-May-19
GPL26679,Illumina HiSeq 2000 (Camelus dromedarius),high-throughput sequencing,Camelus dromedarius,0,4,1,GEO,16-May-19
GPL21268,Mouse MM1200 OpArray [pMouse_combIds_2007Sept.GAL; index ID version],spotted oligonucleotide,Mus musculus,37440,2,1,Eylem Aydogdu,15-May-19
GPL26672,Illumina NovaSeq 6000 (Caenorhabditis elegans),high-throughput sequencing,Caenorhabditis elegans,0,1880,91,GEO,15-May-19
GPL26673, (marine metagenome),high-throughput sequencing,marine metagenome,0,4,1,GEO,15-May-19
GPL26403,Operon Arabidopsis Version 3.0 microarray,spotted oligonucleotide,Arabidopsis thaliana,26284,23,1,JiHye Hwang,14-May-19
GPL26660,Illumina HiSeq 2500 (Mycobacterium tuberculosis variant bovis),high-throughput sequencing,Mycobacterium tuberculosis variant bovis,0,13,1,GEO,14-May-19
GPL26661,Illumina HiSeq 2500 (Mycobacterium canettii),high-throughput sequencing,Mycobacterium canettii,0,0,0,GEO,14-May-19
GPL26662,Illumina HiSeq 2500 (Mycobacterium tuberculosis variant africanum),high-throughput sequencing,Mycobacterium tuberculosis variant africanum,0,0,0,GEO,14-May-19
GPL26664,Illumina HiSeq 4000 (Penicillium oxalicum),high-throughput sequencing,Penicillium oxalicum,0,15,1,GEO,14-May-19
GPL26665,Illumina HiSeq 2500 (Chaetomium globosum CBS 148.51),high-throughput sequencing,Chaetomium globosum CBS 148.51,0,22,1,GEO,14-May-19
GPL26667,HiSeq X Ten (Oryza sativa Indica Group),high-throughput sequencing,Oryza sativa Indica Group,0,116,9,GEO,14-May-19
GPL26668,Illumina NovaSeq 6000 (Dictyostelium discoideum),high-throughput sequencing,Dictyostelium discoideum,0,290,8,GEO,14-May-19
GPL26670,Illumina HiSeq 2000 (Agrobacterium sp. CGMCC 11546),high-throughput sequencing,Agrobacterium sp. CGMCC 11546,0,27,5,GEO,14-May-19
GPL26671,Ion Torrent S5 (Boswellia sacra),high-throughput sequencing,Boswellia sacra,0,4,1,GEO,14-May-19
GPL26517,[PhyloChip] Affymetrix G2 PhyloChip 2012 Greengenes taxonomy,in situ oligonucleotide,Archaea;Bacteria,843,11,1,Heather Elizabeth Driscoll,13-May-19
GPL23501,USC/ACUIGEN-Ruditapes philippinarum-8 × 15 k-designID: 072098,spotted oligonucleotide,Ruditapes philippinarum,15151,48,3,Belen G Pardo,13-May-19
GPL26657,BGISEQ-500 (Megalobrama amblycephala),high-throughput sequencing,Megalobrama amblycephala,0,8,1,GEO,13-May-19
GPL26658,Illumina HiSeq 4000 (Komagataella phaffii),high-throughput sequencing,Komagataella phaffii,0,54,3,GEO,13-May-19
GPL26656,BGISEQ-500 (Bombus terrestris),high-throughput sequencing,Bombus terrestris,0,8,1,GEO,12-May-19
GPL26650,AB 5500xl Genetic Analyzer (Fusarium graminearum),high-throughput sequencing,Fusarium graminearum,0,60,1,GEO,10-May-19
GPL26651,Illumina HiSeq 3000 (Fusarium graminearum),high-throughput sequencing,Fusarium graminearum,0,8,1,GEO,10-May-19
GPL26652,Illumina NextSeq 500 (Pimelobacter simplex),high-throughput sequencing,Pimelobacter simplex,0,8,3,GEO,10-May-19
GPL26653,Illumina NextSeq 500 (Thalassiosira pseudonana CCMP1335),high-throughput sequencing,Thalassiosira pseudonana CCMP1335,0,24,1,GEO,10-May-19
GPL26642,nCounter Max Analysis System (GEN1),other,Homo sapiens,89,99,1,Hatice Gulcin Ozer,9-May-19
GPL26644,"[Clariom_S_Mouse] Affymetrix Clariom S Assay, Mouse [CDF: Brainarray ClariomSMouse_Mm_ENTREZG_22.0.0]",in situ oligonucleotide,Mus musculus,20142,68,4,Kathy Phillippy,9-May-19
GPL26645,Illumina HiSeq 2500 (Apis laboriosa),high-throughput sequencing,Apis laboriosa,0,1,1,GEO,9-May-19
GPL26646,Illumina HiSeq 2500 (Apis dorsata),high-throughput sequencing,Apis dorsata,0,1,1,GEO,9-May-19
GPL26647,Illumina HiSeq 2500 (Valsa mali),high-throughput sequencing,Valsa mali,0,3,2,GEO,9-May-19
GPL26648,Illumina HiSeq 2000 (Human immunodeficiency virus),high-throughput sequencing,Human immunodeficiency virus,0,22,4,GEO,9-May-19
GPL26334,NanoString nCounter human PanCancer Pathways Profiling Panel (Custom Codeset),other,Homo sapiens,794,6,1,Todd P Knutson,8-May-19
GPL25017,NimbleGen Mouse CGH 3x1.4M Whole-Genome Tiling Array (Build MM9) [110922_MM9_WG_tiling_TG_CGH UX3],in situ oligonucleotide,Mus musculus,0,110,1,Thomas E. Wilson,8-May-19
GPL26632,Duke/RG_uPBM_6x80k_with_crystal_structure_probes,in situ oligonucleotide,synthetic construct,62976,1,2,Raluca Gordan,8-May-19
GPL26633,Duke/RG_uPBM_4x44k_with_Mat2_probes,in situ oligonucleotide,synthetic construct,45220,2,2,Raluca Gordan,8-May-19
GPL26634,Duke/RG_uPBM_4x44k_with_GR_probes,in situ oligonucleotide,synthetic construct,45220,1,2,Raluca Gordan,8-May-19
GPL26636,Illumina NextSeq 500 (Callithrix jacchus),high-throughput sequencing,Callithrix jacchus,0,33,7,GEO,8-May-19
GPL26637,Illumina HiSeq 2500 (Staphylococcus aureus subsp. aureus USA300),high-throughput sequencing,Staphylococcus aureus subsp. aureus USA300,0,6,1,GEO,8-May-19
GPL26638,Illumina HiSeq 2500 (Colossoma macropomum),high-throughput sequencing,Colossoma macropomum,0,15,2,GEO,8-May-19
GPL26639,Illumina HiSeq 4000 ([Haemophilus] ducreyi; Homo sapiens),high-throughput sequencing,Homo sapiens;[Haemophilus] ducreyi,0,4,1,GEO,8-May-19
GPL26640,Illumina HiSeq 4000 ([Haemophilus] ducreyi),high-throughput sequencing,[Haemophilus] ducreyi,0,4,1,GEO,8-May-19
GPL26156,ThermoFisher 10-plex Tandem Mass Tag (TMT) Mass Spectrometry,MS,Mus musculus,0,20,3,Lorena Pantano,7-May-19
GPL26598,Agilent-050340 Custom Rat miRNA Microarray,in situ oligonucleotide,Rattus norvegicus,0,6,1,Nakwon Choe,7-May-19
GPL26631,Illumina HiSeq 2000 (Saccharum hybrid cultivar),high-throughput sequencing,Saccharum hybrid cultivar,0,20,2,GEO,7-May-19
GPL25601,Agilent-062842 Anabaena PCC7120_AGIS_JM091213,in situ oligonucleotide,Nostoc sp. PCC 7120 = FACHB-418,62976,28,3,Jens Georg,6-May-19
GPL26626,Agilent-031412 GT_EA444_PigCGH_Microarray 031333,in situ oligonucleotide,Sus scrofa,180880,2,1,Sonja M. Kessler,6-May-19
GPL26617,Fluidigm Custom PCR assay for tumor-infiltrating lymphocytes [88 genes],RT-PCR,Homo sapiens,88,829,1,Paul G. Thomas,4-May-19
GPL26625,Illumina HiSeq 2000 (Fusobacterium nucleatum),high-throughput sequencing,Fusobacterium nucleatum,0,9,1,GEO,4-May-19
GPL26593,NanoString nCounter Human gene expression custom codeset,other,Homo sapiens,83,7,2,Carlos Martinez-Perez,3-May-19
GPL26616,Illumina HiSeq 3000 (Rattus rattus),high-throughput sequencing,Rattus rattus,0,19,4,GEO,3-May-19
GPL26618,Illumina HiSeq 4000 (Brucella ovis),high-throughput sequencing,Brucella ovis,0,10,1,GEO,3-May-19
GPL26619,Illumina HiSeq 2000 (HIV-1 vector pNL4-3; Homo sapiens),high-throughput sequencing,HIV-1 vector pNL4-3;Homo sapiens,0,8,1,GEO,3-May-19
GPL26620,PacBio RS II (Bacillus subtilis PY79),high-throughput sequencing,Bacillus subtilis PY79,0,4,2,GEO,3-May-19
GPL26622,PacBio RS II (Bacillus subtilis),high-throughput sequencing,Bacillus subtilis,0,1,2,GEO,3-May-19
GPL26623,Ion Torrent Proton (Aeromonas dhakensis),high-throughput sequencing,Aeromonas dhakensis,0,3,1,GEO,3-May-19
GPL26624,PromethION (Mus musculus),high-throughput sequencing,Mus musculus,0,36,14,GEO,3-May-19
GPL26613,Illumina NextSeq 500 (Simmondsia chinensis),high-throughput sequencing,Simmondsia chinensis,0,44,1,GEO,2-May-19
GPL26615,Illumina HiSeq 2000 (Rhodospirillum rubrum),high-throughput sequencing,Rhodospirillum rubrum,0,2,1,GEO,2-May-19
GPL25002,GeoChip 4.2,in situ oligonucleotide,uncultured soil microorganism,51672,18,1,zhao mengxin,1-May-19
GPL25018,Agilent-049081 Chicken (Gallus gallus) Gene Expression 4x44K Array (AMADID: 049081),in situ oligonucleotide,Gallus gallus,28077,36,2,Genotypic technology,1-May-19
GPL26599,nCounter PanCancer Progression panel,other,Homo sapiens,784,36,5,Regine Schneider-Stock,1-May-19
GPL26609,Illumina HiSeq 2500 (Escherichia coli K-12; Plasmid RP4; Pseudomonas putida KT2440),high-throughput sequencing,Escherichia coli K-12;Plasmid RP4;Pseudomonas putida KT2440,0,45,4,GEO,1-May-19
GPL26611,Illumina HiSeq 4000 (Boehmeria nivea),high-throughput sequencing,Boehmeria nivea,0,12,1,GEO,1-May-19
GPL26591,NanoString nCounter GX NRF2 target gene expression,other,Homo sapiens,128,48,1,Chibueze Anthony Ihunnah,30-Apr-19
GPL26595,Illumina HiSeq 2500 (Persea americana),high-throughput sequencing,Persea americana,0,2,1,GEO,30-Apr-19
GPL26596,Illumina HiSeq 2500 (Macadamia integrifolia),high-throughput sequencing,Macadamia integrifolia,0,2,1,GEO,30-Apr-19
GPL26597,Illumina HiSeq 2500 (Mangifera indica),high-throughput sequencing,Mangifera indica,0,2,1,GEO,30-Apr-19
GPL26601,Illumina HiSeq 3000 (Streptococcus pneumoniae TIGR4),high-throughput sequencing,Streptococcus pneumoniae TIGR4,0,6,1,GEO,30-Apr-19
GPL26602,Illumina HiSeq 3000 (Serendipita vermifera),high-throughput sequencing,Serendipita vermifera,0,3,1,GEO,30-Apr-19
GPL26603,Illumina HiSeq 3000 (Bipolaris sorokiniana; Serendipita vermifera),high-throughput sequencing,Bipolaris sorokiniana;Serendipita vermifera,0,3,1,GEO,30-Apr-19
GPL26604,Illumina HiSeq 3000 (Bipolaris sorokiniana),high-throughput sequencing,Bipolaris sorokiniana,0,3,1,GEO,30-Apr-19
GPL26605,Illumina HiSeq 2500 (Hordeum vulgare; Serendipita vermifera),high-throughput sequencing,Hordeum vulgare;Serendipita vermifera,0,6,1,GEO,30-Apr-19
GPL26606,Illumina HiSeq 2500 (Bipolaris sorokiniana; Hordeum vulgare),high-throughput sequencing,Bipolaris sorokiniana;Hordeum vulgare,0,6,1,GEO,30-Apr-19
GPL26607,Illumina HiSeq 2500 (Bipolaris sorokiniana; Hordeum vulgare; Serendipita vermifera),high-throughput sequencing,Bipolaris sorokiniana;Hordeum vulgare;Serendipita vermifera,0,3,1,GEO,30-Apr-19
GPL26586,Illumina NextSeq 500 (Hordeum vulgare; Puccinia graminis f. sp. tritici),high-throughput sequencing,Hordeum vulgare;Puccinia graminis f. sp. tritici,0,24,1,GEO,29-Apr-19
GPL26587,Illumina NextSeq 500 (Prunus avium),high-throughput sequencing,Prunus avium,0,109,2,GEO,29-Apr-19
GPL26590,PacBio RS II (Streptococcus pyogenes),high-throughput sequencing,Streptococcus pyogenes,0,1,2,GEO,29-Apr-19
GPL26592,Illumina NovaSeq 6000 (Escherichia coli str. K-12 substr. MG1655),high-throughput sequencing,Escherichia coli str. K-12 substr. MG1655,0,1191,13,GEO,29-Apr-19
GPL26594,Illumina NovaSeq 6000 (Cucumis sativus),high-throughput sequencing,Cucumis sativus,0,118,7,GEO,29-Apr-19
GPL26568,Agilent-063206 Lachancea kluyveri array,in situ oligonucleotide,Lachancea kluyveri,10680,63,3,Po-Chen Hsu,26-Apr-19
GPL26584,Illumina HiSeq 2500 (Deinococcus metallilatus),high-throughput sequencing,Deinococcus metallilatus,0,2,1,GEO,26-Apr-19
GPL26585,Illumina HiSeq 2500 (Linum usitatissimum),high-throughput sequencing,Linum usitatissimum,0,12,2,GEO,26-Apr-19
GPL25686,Agilent-017184 Mycobacterium smegmatis  4x44K,in situ oligonucleotide,Mycolicibacterium smegmatis,45193,14,1,Hans-Joachim Mollenkopf,25-Apr-19
GPL25708,Agilent-035148 SysteMTb V3,in situ oligonucleotide,Mycobacterium tuberculosis H37Rv;Mycobacterium tuberculosis variant bovis,62976,16,1,Hans-Joachim Mollenkopf,25-Apr-19
GPL26569,Illumina HiSeq 2000 (Bradyrhizobium diazoefficiens),high-throughput sequencing,Bradyrhizobium diazoefficiens,0,4,1,GEO,25-Apr-19
GPL26583,Ion Torrent PGM (Nitrospirillum amazonense),high-throughput sequencing,Nitrospirillum amazonense,0,6,1,GEO,25-Apr-19
GPL26564,Illumina HiSeq 4000 (Anser cygnoides domesticus),high-throughput sequencing,Anser cygnoides domesticus,0,6,1,GEO,24-Apr-19
GPL26565,Illumina HiSeq 2500 (Aspergillus oryzae RIB40),high-throughput sequencing,Aspergillus oryzae RIB40,0,0,0,GEO,24-Apr-19
GPL26566,Illumina HiSeq 4000 (Callithrix jacchus),high-throughput sequencing,Callithrix jacchus,0,66,9,GEO,24-Apr-19
GPL26567,Illumina HiSeq 2500 (Amphimedon queenslandica),high-throughput sequencing,Amphimedon queenslandica,0,43,1,GEO,24-Apr-19
